# wvl	a	b	c	rmse
2454.56314000 0.00158121 0.05509198 0.00000000 0.00000000
2459.51968000 0.00158096 0.05507493 -0.00000000 0.00000000
2464.47514000 0.00158350 0.05525279 -0.00000000 0.00000000
2469.43153000 0.00158911 0.05564566 -0.00000000 0.00000000
2474.38684000 0.00159348 0.05595261 -0.00000000 0.00000000
2479.34207000 0.00159597 0.05612787 0.00000000 0.00000000
2484.29723000 0.00160466 0.05674066 0.00000000 0.00000000
2489.25231000 0.00161244 0.05729320 -0.00000000 0.00000000
2494.20631000 0.00162276 0.05802905 -0.00000000 0.00000000
2499.16123000 0.00162915 0.05848803 -0.00000000 0.00000000
